faiss_idx,scene,ts_ns,frame_idx,tx,ty,tz,qw,qx,qy,qz
105,seq00,28030386479712,105,-0.064509,-0.133044,-0.171716,0.670839865,0.203787471,0.712193159,-0.035006366
106,seq01,11683410014375,0,0.000756,-0.006622,-3.9e-05,0.511533076,0.537622971,0.525293279,-0.416368136
107,seq01,11684410021625,1,-0.002905,-0.092961,-0.006923,0.480690468,0.565879878,0.517630727,-0.425176514
108,seq01,11685410018050,2,-0.072447,-0.70749,-0.004079,0.458327996,0.595957566,0.440037211,-0.491057309
109,seq01,11686410012875,3,-0.084917,-1.058147,-0.042555,0.462530898,0.607074456,0.550003497,-0.339148826
110,seq01,11687410014300,4,-0.105329,-0.999832,-0.011156,0.472172181,0.589584245,0.496677003,-0.42749948
111,seq01,11688410015712,5,-0.113634,-0.992389,-0.02019,0.461823061,0.588417474,0.53562941,-0.391899825
112,seq01,11689410020750,6,-0.150156,-1.014222,-0.024295,0.465865467,0.612356296,0.512064403,-0.381810399
113,seq01,11690410012800,7,-0.009165,-1.054812,-0.032316,0.343105092,0.69755957,0.331152483,-0.534815459
114,seq01,11691410015875,8,0.320335,-1.088857,-0.041824,0.388132823,0.669032425,0.427111207,-0.468320983
115,seq01,11692410017962,9,0.32717,-1.050323,-0.015838,0.354229724,0.620345701,0.394865431,-0.577731603
116,seq01,11693410011962,10,0.33549,-1.047507,-0.016259,0.395336357,0.617007374,0.399041248,-0.551159821
117,seq01,11694410018462,11,0.343836,-1.062078,-0.024063,0.393456218,0.617519682,0.437171833,-0.522247484
118,seq01,11695410013837,12,0.340055,-1.056832,-0.01089,0.4108185,0.588218077,0.435709471,-0.543493248
119,seq01,11696410010587,13,0.271883,-0.874142,-0.026307,0.371645315,0.569406605,0.51132008,-0.525554616
120,seq01,11697410021712,14,0.22816,-0.849778,-0.015343,0.420095994,0.576068791,0.467124379,-0.522932996
121,seq01,11698410016000,15,0.220565,-0.82183,-0.007027,0.472672453,0.559411833,0.445844412,-0.514647368
